nct,agent,dose,loss,var
NCT02453711,semaglutide,0.4,11.55,1.2365
NCT02453711,semaglutide,0.1,6.329999999999999,1.2531999999999999
NCT02453711,semaglutide,0.2,9.309999999999999,1.2700999999999998
NCT02453711,semaglutide,0.3,9.09,1.2700999999999998
NCT02453711,semaglutide,0.05,3.7,1.2700999999999998
NCT03548935,semaglutide,2.4,13.799999999999999,0.13019131898577307
NCT03552757,semaglutide,2.4,7.6,0.217690833599489
NCT03693430,semaglutide,2.4,15.3,1.561215277777778
NCT04184622,tirzepatide,5.0,13.6,0.31210000000000004
NCT04184622,tirzepatide,15.0,20.1,0.31210000000000004
NCT04184622,tirzepatide,10.0,19.0,0.31210000000000004
NCT04657003,tirzepatide,10.0,10.100000000000001,0.4704999999999999
NCT04657003,tirzepatide,15.0,12.399999999999999,0.4801999999999998
