nct,age,bmi,baseline_wt,hba1c,population,node
NCT02453711,46.64,,111.38500000000002,5.488,obesity,semaglutide-sc-daily
NCT02607865,57.8,,,8.320000000000002,T2D,semaglutide-oral
NCT02827708,70.33333333333333,,,7.966666666666666,T2D,semaglutide-oral
NCT02863328,57.666666666666664,,,8.1,T2D,semaglutide-oral
NCT02863419,56.25,,,7.975,T2D,semaglutide-oral
NCT02906930,54.8,,,,unknown,semaglutide-oral
NCT03015220,58.6,,,,unknown,semaglutide-oral
NCT03018028,59.333333333333336,,,8.200000000000001,T2D,semaglutide-oral
NCT03021187,60.6,,,8.2,T2D,semaglutide-oral
NCT03086330,57.03333333333333,,,8.033333333333333,T2D,semaglutide-sc-weekly
NCT03191396,59.5,,,,unknown,semaglutide-sc-weekly
NCT03548935,46.333333333333336,,,,unknown,semaglutide-sc-weekly
NCT03548987,46.333333333333336,,,,unknown,semaglutide-sc-weekly
NCT03552757,55.25,,,,unknown,semaglutide-sc-weekly
NCT03574597,61.6,,,,unknown,
NCT03611582,46.0,,,,unknown,semaglutide-sc-weekly
NCT03693430,47.0,,,,unknown,semaglutide-sc-weekly
NCT03811574,51.0,,,,unknown,semaglutide-sc-weekly
NCT03856047,52.275,,,,unknown,cagrilintide
NCT03987451,23.666666666666668,,,,unknown,semaglutide-sc-weekly
NCT04017832,53.32000000000001,,,,unknown,semaglutide-oral
NCT04074161,49.25,,,,unknown,semaglutide-sc-weekly
NCT04102189,15.4,,,,unknown,semaglutide-sc-weekly
NCT04109547,52.4,,,,unknown,semaglutide-oral
NCT04153929,57.3111111111111,,,8.07,T2D,survodutide
NCT04184622,44.9,,104.798,,unknown,tirzepatide
NCT04251156,40.666666666666664,,,,unknown,semaglutide-sc-weekly
NCT04515849,67.10000000000001,,,,unknown,
NCT04657003,54.2,,100.705,,unknown,tirzepatide
NCT04657016,45.56666666666666,,101.87666666666667,,unknown,
NCT04660643,47.71,,107.30333333333334,,unknown,
NCT04667377,49.06666666666666,,105.68166666666669,,unknown,survodutide
NCT04707313,29.80952380952381,,,,unknown,danuglipron
NCT04707469,58.25,,,,unknown,semaglutide-oral
NCT04779697,36.3,37.099999999999994,,,unknown,
NCT04788511,68.33333333333333,,,,unknown,semaglutide-sc-weekly
NCT04844918,50.8,,,,unknown,tirzepatide
NCT04847557,65.23333333333333,,,,unknown,
NCT04881760,48.125,37.31875,107.68125,,unknown,retatrutide
NCT04969939,46.08,,,,unknown,semaglutide-sc-weekly
NCT04982575,58.25,,,,unknown,semaglutide-sc-weekly
NCT04998136,39.0,,,,unknown,
NCT05024032,36.1,,91.825,,unknown,tirzepatide
NCT05035095,49.666666666666664,,,,unknown,semaglutide-oral
NCT05040971,53.0,,,,unknown,semaglutide-sc-weekly
NCT05051579,54.2625,,108.56125,,unknown,orforglipron
NCT05064735,56.0,,,,unknown,semaglutide-sc-weekly
NCT05144984,58.0,,,,unknown,semaglutide-sc-weekly
NCT05412004,93.8,,,,unknown,
NCT05564117,47.666666666666664,,,,unknown,semaglutide-oral
NCT05579249,41.3,,,,unknown,semaglutide-sc-weekly
NCT05646706,47.0,,,,unknown,semaglutide-sc-weekly
NCT05649137,56.5,,,,unknown,semaglutide-sc-weekly
NCT05822830,44.70000000000001,,,,unknown,semaglutide-sc-weekly
NCT05971940,53.379999999999995,,,7.986,T2D,orforglipron
NCT06041217,41.333333333333336,,,,unknown,semaglutide-sc-weekly
NCT06124807,47.739999999999995,,107.73999999999998,,unknown,mazdutide
