app,state,confidence,load_ok,timed_out,load_time_ms,mount_found,n_console_errors,n_ui_matches,reasons
amstar-2,OK,high,True,False,1082,True,1,0,loaded in 1082 ms
bayesian-ma,OK,high,True,False,1279,True,1,0,loaded in 1279 ms
bayesian-mcmc,OK,high,True,False,1078,True,1,0,loaded in 1078 ms
bayesian-nma,OK,high,True,False,1087,True,1,0,loaded in 1087 ms
bucher,OK,high,True,False,1068,True,1,0,loaded in 1068 ms
cerqual,OK,high,True,False,1067,True,1,0,loaded in 1067 ms
cinema,OK,high,True,False,1068,True,1,0,loaded in 1068 ms
citation-chaser,OK,high,True,False,1082,True,1,0,loaded in 1082 ms
citation-dedup,OK,high,True,False,1240,True,1,0,loaded in 1240 ms
component-nma,OK,high,True,False,1256,True,1,0,loaded in 1256 ms
copas,OK,high,True,False,1083,True,1,0,loaded in 1083 ms
cumulative-subgroup,OK,high,True,False,1106,True,1,0,loaded in 1106 ms
dosehtml,OK,high,True,False,1329,True,0,0,loaded in 1329 ms
dta-sroc,OK,high,True,False,1353,True,1,0,loaded in 1353 ms
effect-size-converter,OK,high,True,False,1361,True,1,0,loaded in 1361 ms
evidence-board,OK,high,True,False,1209,True,1,0,loaded in 1209 ms
focus-studio,OK,high,True,False,1350,True,1,0,loaded in 1350 ms
forest-plot,OK,high,True,False,1305,True,1,0,loaded in 1305 ms
funnel-plot,OK,high,True,False,1324,True,1,0,loaded in 1324 ms
gosh,OK,high,True,False,1258,True,1,0,loaded in 1258 ms
gosh-metareg,OK,high,True,False,1083,True,1,0,loaded in 1083 ms
grade-sof,OK,high,True,False,1398,True,1,0,loaded in 1398 ms
heterogeneity,OK,high,True,False,1394,True,1,0,loaded in 1394 ms
hsroc,OK,high,True,False,1096,True,1,0,loaded in 1096 ms
HTA,OK,high,True,False,1963,True,1,0,loaded in 1963 ms
influence,OK,high,True,False,1102,True,1,0,loaded in 1102 ms
IPD-Meta-Pro,OK,high,True,False,1417,True,0,0,loaded in 1417 ms
kanban-lab,OK,high,True,False,1262,True,1,0,loaded in 1262 ms
km-reconstructor,OK,high,True,False,1113,True,1,0,loaded in 1113 ms
limit-ma,OK,high,True,False,1083,True,1,0,loaded in 1083 ms
living-meta,OK,high,True,False,1084,True,0,0,loaded in 1084 ms
local-ai,MISSING-MOUNT,medium,True,False,3222,False,1,0,no primary mount landmark (svg/canvas/textarea/table input/action button)
local-install,OK,high,True,False,1088,True,1,0,loaded in 1088 ms
mcid,OK,high,True,False,1068,True,1,0,loaded in 1068 ms
median-to-mean,OK,high,True,False,1070,True,1,0,loaded in 1070 ms
meta-regression,OK,high,True,False,1348,True,1,0,loaded in 1348 ms
mh-peto,OK,high,True,False,1075,True,1,0,loaded in 1075 ms
multilevel-ma,OK,high,True,False,1076,True,1,0,loaded in 1076 ms
nma-dose-response-app,OK,high,True,False,2188,True,1,0,loaded in 2188 ms
nma-global-inconsistency,OK,high,True,False,1088,True,1,0,loaded in 1088 ms
nma-inconsistency,OK,high,True,False,1086,True,1,0,loaded in 1086 ms
nma-pro-v2,OK,high,True,False,1383,True,0,0,loaded in 1383 ms
p-curve,OK,high,True,False,1307,True,1,0,loaded in 1307 ms
Pairwiseai,OK,high,True,False,1567,True,2,0,loaded in 1567 ms
pet-peese,OK,high,True,False,1393,True,1,0,loaded in 1393 ms
pico,OK,high,True,False,1288,True,1,0,loaded in 1288 ms
powerma,OK,high,True,False,1084,True,1,0,loaded in 1084 ms
prisma-checklist,OK,high,True,False,1218,True,1,0,loaded in 1218 ms
prisma-flow,OK,high,True,False,1090,True,1,0,loaded in 1090 ms
prisma-nma,OK,high,True,False,1099,True,1,0,loaded in 1099 ms
prisma-screen,OK,high,True,False,1065,True,1,0,loaded in 1065 ms
proportion-ma,OK,high,True,False,1086,True,1,0,loaded in 1086 ms
pubbias-tests,OK,high,True,False,1076,True,1,0,loaded in 1076 ms
quadas-2,MISSING-MOUNT,medium,True,False,3060,False,1,0,no primary mount landmark (svg/canvas/textarea/table input/action button)
rct-extractor,NEEDS-SERVICE,high,True,False,3510,True,2,1,UI text matched: '\\bnot reachable\\b'
rob-traffic-light,OK,high,True,False,1269,True,1,0,loaded in 1269 ms
rob2,OK,high,True,False,1085,True,1,0,loaded in 1085 ms
robins-e,OK,high,True,False,1076,True,1,0,loaded in 1076 ms
robins-i,OK,high,True,False,1093,True,1,0,loaded in 1093 ms
search-translator,OK,high,True,False,1093,True,1,0,loaded in 1093 ms
thematic-synthesis,OK,high,True,False,1072,True,1,0,loaded in 1072 ms
Truthcert1,OK,high,True,False,4138,True,1,0,loaded in 4138 ms
tsa,OK,high,True,False,1283,True,1,0,loaded in 1283 ms
webr-studio,OK,high,True,False,1085,True,1,0,loaded in 1085 ms
webr-validator,OK,high,True,False,1313,True,1,0,loaded in 1313 ms
workbench,OK,high,True,False,1280,True,1,0,loaded in 1280 ms
