[dump] methods=['NPE'] cells=55 todo=55 done=0 reps=1000 procs=4
  [1/55] mu0.3_t20.05_k5_step_weak (186.0s, degen=0) el=192s eta=10362s
  [2/55] mu0.3_t20.05_k5_copas_weak (186.3s, degen=0) el=192s eta=5096s
  [3/55] mu0.3_t20.05_k5_step_strong (186.5s, degen=0) el=192s eta=3336s
  [4/55] mu0.3_t20.05_k5_none (186.7s, degen=0) el=193s eta=2455s
  [5/55] mu0.3_t20.05_k5_copas_strong (192.9s, degen=0) el=385s eta=3848s
  [6/55] mu0.3_t20.05_k10_none (193.2s, degen=0) el=386s eta=3149s
  [7/55] mu0.3_t20.05_k10_step_strong (193.0s, degen=0) el=386s eta=2644s
  [8/55] mu0.3_t20.05_k10_step_weak (193.1s, degen=0) el=386s eta=2266s
  [9/55] mu0.3_t20.05_k10_copas_weak (174.0s, degen=0) el=559s eta=2857s
  [10/55] mu0.3_t20.05_k15_none (174.4s, degen=0) el=560s eta=2520s
  [11/55] mu0.3_t20.05_k10_copas_strong (175.1s, degen=0) el=561s eta=2243s
  [12/55] mu0.3_t20.05_k15_step_weak (175.1s, degen=0) el=561s eta=2010s
  [13/55] mu0.3_t20.05_k15_step_strong (172.8s, degen=0) el=732s eta=2364s
  [14/55] mu0.3_t20.05_k15_copas_weak (173.2s, degen=0) el=733s eta=2148s
  [15/55] mu0.3_t20.05_k15_copas_strong (172.8s, degen=0) el=733s eta=1956s
  [16/55] mu0.3_t20.05_k25_none (173.3s, degen=0) el=734s eta=1789s
  [17/55] mu0.3_t20.05_k25_step_weak (184.8s, degen=0) el=917s eta=2049s
  [18/55] mu0.3_t20.05_k25_copas_weak (185.5s, degen=0) el=919s eta=1889s
  [19/55] mu0.3_t20.05_k25_step_strong (186.0s, degen=0) el=919s eta=1742s
  [20/55] mu0.3_t20.05_k25_copas_strong (186.6s, degen=0) el=921s eta=1611s
  [21/55] mu0.3_t20.05_k50_none (230.2s, degen=0) el=1147s eta=1857s
  [22/55] mu0.3_t20.05_k50_step_strong (230.9s, degen=0) el=1150s eta=1726s
  [23/55] mu0.3_t20.05_k50_step_weak (231.4s, degen=0) el=1151s eta=1601s
  [24/55] mu0.3_t20.05_k50_copas_weak (231.7s, degen=0) el=1152s eta=1489s
  [25/55] mu0.3_t20.05_k50_copas_strong (229.9s, degen=0) el=1377s eta=1652s
  [26/55] mu0.3_t20.0_k15_none (229.7s, degen=0) el=1380s eta=1539s
  [27/55] mu0.3_t20.0_k15_step_weak (230.1s, degen=0) el=1381s eta=1432s
  [28/55] mu0.3_t20.0_k15_step_strong (230.1s, degen=0) el=1383s eta=1333s
  [29/55] mu0.3_t20.0_k15_copas_weak (214.6s, degen=0) el=1591s eta=1427s
  [30/55] mu0.3_t20.0_k15_copas_strong (215.8s, degen=0) el=1596s eta=1330s
  [31/55] mu0.3_t20.02_k15_none (215.9s, degen=0) el=1597s eta=1236s
  [32/55] mu0.3_t20.02_k15_step_weak (216.5s, degen=0) el=1599s eta=1149s
  [33/55] mu0.3_t20.02_k15_step_strong (214.3s, degen=0) el=1806s eta=1204s
  [34/55] mu0.3_t20.02_k15_copas_weak (212.8s, degen=0) el=1809s eta=1117s
  [35/55] mu0.3_t20.02_k15_copas_strong (213.3s, degen=0) el=1810s eta=1034s
  [36/55] mu0.3_t20.08_k15_none (214.2s, degen=0) el=1813s eta=957s
  [37/55] mu0.3_t20.08_k15_step_weak (195.0s, degen=0) el=2001s eta=973s
  [38/55] mu0.3_t20.08_k15_step_strong (196.0s, degen=0) el=2005s eta=897s
  [39/55] mu0.3_t20.08_k15_copas_weak (195.5s, degen=0) el=2005s eta=823s
  [40/55] mu0.3_t20.08_k15_copas_strong (194.4s, degen=0) el=2008s eta=753s
  [41/55] mu0.3_t20.2_k15_none (169.2s, degen=0) el=2170s eta=741s
  [42/55] mu0.3_t20.2_k15_step_weak (168.8s, degen=0) el=2174s eta=673s
  [43/55] mu0.3_t20.2_k15_step_strong (168.8s, degen=0) el=2174s eta=607s
  [44/55] mu0.3_t20.2_k15_copas_weak (169.0s, degen=0) el=2177s eta=544s
  [45/55] mu0.3_t20.2_k15_copas_strong (183.9s, degen=0) el=2354s eta=523s
  [46/55] mu0.0_t20.05_k10_none (184.2s, degen=0) el=2358s eta=461s
  [47/55] mu0.0_t20.05_k10_step_weak (185.0s, degen=0) el=2359s eta=402s
  [48/55] mu0.0_t20.05_k10_step_strong (185.8s, degen=0) el=2363s eta=345s
  [49/55] mu0.0_t20.05_k10_copas_weak (174.7s, degen=0) el=2529s eta=310s
  [50/55] mu0.0_t20.05_k10_copas_strong (173.8s, degen=0) el=2532s eta=253s
  [51/55] mu0.0_t20.05_k25_none (176.0s, degen=0) el=2535s eta=199s
  [52/55] mu0.0_t20.05_k25_step_weak (176.0s, degen=0) el=2539s eta=146s
  [53/55] mu0.0_t20.05_k25_step_strong (143.6s, degen=0) el=2672s eta=101s
  [54/55] mu0.0_t20.05_k25_copas_weak (142.5s, degen=0) el=2674s eta=50s
  [55/55] mu0.0_t20.05_k25_copas_strong (139.4s, degen=0) el=2675s eta=0s
[dump] done in 2675s -> F:\allmeta\truth-recovery-bench\perrep_npe_v2.json
