[nma-harness] profile=full cells=57 reps=500 bayes_reps=120 procs=4
  [1/57] loop_T3_spe2_t20.05_inc0.0_none_sep (24.9s) covFE=0.76 RE=0.88 HK=0.95
  [2/57] loop_T3_spe2_t20.0_inc0.0_none_tight (25.0s) covFE=0.95 RE=0.96 HK=1.00
  [3/57] loop_T3_spe2_t20.0_inc0.0_none_sep (25.2s) covFE=0.96 RE=0.97 HK=1.00
  [4/57] loop_T3_spe2_t20.05_inc0.0_none_tight (24.9s) covFE=0.77 RE=0.90 HK=0.96
  [5/57] loop_T3_spe2_t20.15_inc0.0_none_tight (30.9s) covFE=0.56 RE=0.85 HK=0.94
  [6/57] loop_T3_spe2_t20.15_inc0.0_none_sep (31.1s) covFE=0.56 RE=0.86 HK=0.94
  [7/57] loop_T3_spe5_t20.0_inc0.0_none_sep (31.4s) covFE=0.96 RE=0.97 HK=0.99
  [8/57] loop_T3_spe5_t20.0_inc0.0_none_tight (31.4s) covFE=0.95 RE=0.96 HK=0.98
  [9/57] loop_T3_spe5_t20.05_inc0.0_none_sep (29.1s) covFE=0.72 RE=0.90 HK=0.93
  [10/57] loop_T3_spe5_t20.05_inc0.0_none_tight (29.3s) covFE=0.75 RE=0.93 HK=0.95
  [11/57] loop_T3_spe5_t20.15_inc0.0_none_sep (29.1s) covFE=0.53 RE=0.92 HK=0.95
  [12/57] loop_T3_spe5_t20.15_inc0.0_none_tight (29.2s) covFE=0.52 RE=0.92 HK=0.95
  [13/57] ladder_T4_spe2_t20.0_inc0.0_none_sep (37.1s) covFE=0.95 RE=0.96 HK=0.99
  [14/57] ladder_T4_spe2_t20.0_inc0.0_none_tight (37.7s) covFE=0.95 RE=0.96 HK=0.99
  [15/57] ladder_T4_spe2_t20.05_inc0.0_none_sep (37.7s) covFE=0.79 RE=0.91 HK=0.95
  [16/57] ladder_T4_spe2_t20.05_inc0.0_none_tight (38.1s) covFE=0.76 RE=0.90 HK=0.95
  [17/57] ladder_T4_spe2_t20.15_inc0.0_none_sep (34.2s) covFE=0.57 RE=0.89 HK=0.94
  [18/57] ladder_T4_spe2_t20.15_inc0.0_none_tight (34.0s) covFE=0.59 RE=0.91 HK=0.95
  [19/57] ladder_T4_spe5_t20.0_inc0.0_none_sep (34.3s) covFE=0.96 RE=0.97 HK=0.98
  [20/57] ladder_T4_spe5_t20.0_inc0.0_none_tight (34.4s) covFE=0.95 RE=0.96 HK=0.97
  [21/57] ladder_T4_spe5_t20.05_inc0.0_none_sep (29.0s) covFE=0.72 RE=0.93 HK=0.94
  [22/57] ladder_T4_spe5_t20.05_inc0.0_none_tight (28.9s) covFE=0.73 RE=0.93 HK=0.95
  [23/57] ladder_T4_spe5_t20.15_inc0.0_none_sep (28.9s) covFE=0.53 RE=0.94 HK=0.96
  [24/57] ladder_T4_spe5_t20.15_inc0.0_none_tight (29.0s) covFE=0.52 RE=0.93 HK=0.95
  [25/57] dense_T4_spe2_t20.0_inc0.0_none_sep (20.6s) covFE=0.94 RE=0.95 HK=0.98
  [26/57] dense_T4_spe2_t20.0_inc0.0_none_tight (20.5s) covFE=0.93 RE=0.95 HK=0.97
  [27/57] dense_T4_spe2_t20.05_inc0.0_none_sep (20.2s) covFE=0.76 RE=0.91 HK=0.94
  [28/57] dense_T4_spe2_t20.05_inc0.0_none_tight (20.1s) covFE=0.76 RE=0.91 HK=0.94
  [29/57] dense_T4_spe2_t20.15_inc0.0_none_sep (15.6s) covFE=0.57 RE=0.90 HK=0.94
  [30/57] dense_T4_spe2_t20.15_inc0.0_none_tight (15.6s) covFE=0.56 RE=0.91 HK=0.95
  [31/57] dense_T4_spe5_t20.0_inc0.0_none_sep (16.0s) covFE=0.95 RE=0.96 HK=0.97
  [32/57] dense_T4_spe5_t20.0_inc0.0_none_tight (16.3s) covFE=0.95 RE=0.96 HK=0.97
  [33/57] dense_T4_spe5_t20.05_inc0.0_none_sep (19.0s) covFE=0.71 RE=0.93 HK=0.94
  [34/57] dense_T4_spe5_t20.05_inc0.0_none_tight (19.4s) covFE=0.72 RE=0.92 HK=0.94
  [35/57] dense_T4_spe5_t20.15_inc0.0_none_sep (19.7s) covFE=0.52 RE=0.93 HK=0.95
