[harness] profile=full cells=55 reps=1000 procs=4 grma_B=199
  [1/55] mu0.3_t20.05_k5_none (461.3s, degen=0)
  [2/55] mu0.3_t20.05_k5_copas_weak (461.7s, degen=0)
  [3/55] mu0.3_t20.05_k5_step_weak (462.2s, degen=0)
  [4/55] mu0.3_t20.05_k5_step_strong (498.1s, degen=0)
  [5/55] mu0.3_t20.05_k5_copas_strong (518.8s, degen=0)
  [6/55] mu0.3_t20.05_k10_none (525.4s, degen=0)
  [7/55] mu0.3_t20.05_k10_step_weak (529.2s, degen=0)
  [8/55] mu0.3_t20.05_k10_step_strong (527.9s, degen=0)
  [9/55] mu0.3_t20.05_k10_copas_weak (530.7s, degen=0)
  [10/55] mu0.3_t20.05_k10_copas_strong (529.8s, degen=0)
  [11/55] mu0.3_t20.05_k15_none (536.1s, degen=0)
  [12/55] mu0.3_t20.05_k15_step_weak (539.4s, degen=0)
  [13/55] mu0.3_t20.05_k15_step_strong (564.1s, degen=0)
  [14/55] mu0.3_t20.05_k15_copas_weak (565.1s, degen=0)
  [15/55] mu0.3_t20.05_k15_copas_strong (563.9s, degen=0)
  [16/55] mu0.3_t20.05_k25_none (570.4s, degen=0)
  [17/55] mu0.3_t20.05_k25_step_weak (660.0s, degen=0)
  [18/55] mu0.3_t20.05_k25_step_strong (661.4s, degen=0)
  [19/55] mu0.3_t20.05_k25_copas_weak (673.9s, degen=0)
  [20/55] mu0.3_t20.05_k25_copas_strong (671.7s, degen=0)
  [21/55] mu0.3_t20.05_k50_none (672.8s, degen=0)
  [22/55] mu0.3_t20.05_k50_step_weak (674.0s, degen=0)
  [23/55] mu0.3_t20.05_k50_step_strong (663.5s, degen=0)
  [24/55] mu0.3_t20.05_k50_copas_weak (674.0s, degen=0)
  [25/55] mu0.3_t20.0_k15_none (555.7s, degen=0)
  [26/55] mu0.3_t20.0_k15_step_weak (564.5s, degen=0)
  [27/55] mu0.3_t20.05_k50_copas_strong (620.7s, degen=0)
  [28/55] mu0.3_t20.0_k15_step_strong (578.8s, degen=0)
  [29/55] mu0.3_t20.0_k15_copas_weak (595.3s, degen=0)
  [30/55] mu0.3_t20.0_k15_copas_strong (589.6s, degen=0)
  [31/55] mu0.3_t20.02_k15_none (589.5s, degen=0)
  [32/55] mu0.3_t20.02_k15_step_weak (595.7s, degen=0)
  [33/55] mu0.3_t20.02_k15_step_strong (596.7s, degen=0)
  [34/55] mu0.3_t20.02_k15_copas_weak (595.0s, degen=0)
  [35/55] mu0.3_t20.02_k15_copas_strong (593.1s, degen=0)
  [36/55] mu0.3_t20.08_k15_none (632.9s, degen=0)
  [37/55] mu0.3_t20.08_k15_step_weak (646.6s, degen=0)
  [38/55] mu0.3_t20.08_k15_step_strong (645.8s, degen=0)
  [39/55] mu0.3_t20.08_k15_copas_weak (643.3s, degen=0)
  [40/55] mu0.3_t20.08_k15_copas_strong (632.0s, degen=0)
  [41/55] mu0.3_t20.2_k15_none (753.8s, degen=0)
  [42/55] mu0.3_t20.2_k15_step_weak (763.9s, degen=0)
  [43/55] mu0.3_t20.2_k15_step_strong (760.6s, degen=0)
  [44/55] mu0.3_t20.2_k15_copas_weak (785.1s, degen=0)
  [45/55] mu0.0_t20.05_k10_none (620.4s, degen=0)
  [46/55] mu0.0_t20.05_k10_step_weak (614.6s, degen=0)
  [47/55] mu0.3_t20.2_k15_copas_strong (681.2s, degen=0)
  [48/55] mu0.0_t20.05_k10_step_strong (601.0s, degen=0)
  [49/55] mu0.0_t20.05_k10_copas_weak (537.8s, degen=0)
  [50/55] mu0.0_t20.05_k10_copas_strong (531.7s, degen=0)
  [51/55] mu0.0_t20.05_k25_none (545.1s, degen=0)
  [52/55] mu0.0_t20.05_k25_step_weak (534.6s, degen=0)
  [53/55] mu0.0_t20.05_k25_step_strong (467.6s, degen=0)
  [54/55] mu0.0_t20.05_k25_copas_weak (457.9s, degen=0)
  [55/55] mu0.0_t20.05_k25_copas_strong (447.6s, degen=0)
[harness] done in 8242s -> results_full.json
