[run_new] methods=['NPE', 'PVS', 'PartialID'] cells=55 todo=55 done=0 reps=1000 procs=4
  [1/55] mu0.3_t20.05_k5_none (371.2s, degen=0) elapsed=376s eta=20315s
  [2/55] mu0.3_t20.05_k5_copas_weak (372.0s, degen=0) elapsed=377s eta=9999s
  [3/55] mu0.3_t20.05_k5_step_weak (372.5s, degen=0) elapsed=377s eta=6543s
  [4/55] mu0.3_t20.05_k5_step_strong (374.4s, degen=0) elapsed=380s eta=4840s
  [5/55] mu0.3_t20.05_k5_copas_strong (353.1s, degen=0) elapsed=729s eta=7293s
  [6/55] mu0.3_t20.05_k10_step_weak (361.8s, degen=0) elapsed=739s eta=6037s
  [7/55] mu0.3_t20.05_k10_none (365.9s, degen=0) elapsed=743s eta=5096s
  [8/55] mu0.3_t20.05_k10_step_strong (371.3s, degen=0) elapsed=751s eta=4411s
  [9/55] mu0.3_t20.05_k10_copas_weak (399.2s, degen=0) elapsed=1128s eta=5768s
  [10/55] mu0.3_t20.05_k10_copas_strong (401.6s, degen=0) elapsed=1141s eta=5134s
  [11/55] mu0.3_t20.05_k15_none (405.8s, degen=0) elapsed=1149s eta=4596s
  [12/55] mu0.3_t20.05_k15_step_weak (405.4s, degen=0) elapsed=1156s eta=4143s
  [13/55] mu0.3_t20.05_k15_copas_weak (590.3s, degen=0) elapsed=1731s eta=5593s
  [14/55] mu0.3_t20.05_k15_step_strong (604.9s, degen=0) elapsed=1734s eta=5077s
  [15/55] mu0.3_t20.05_k15_copas_strong (595.1s, degen=0) elapsed=1744s eta=4651s
  [16/55] mu0.3_t20.05_k25_none (606.5s, degen=0) elapsed=1763s eta=4296s
  [17/55] mu0.3_t20.05_k25_step_weak (777.6s, degen=0) elapsed=2509s eta=5608s
  [18/55] mu0.3_t20.05_k25_copas_weak (775.2s, degen=0) elapsed=2519s eta=5178s
  [19/55] mu0.3_t20.05_k25_copas_strong (782.9s, degen=0) elapsed=2546s eta=4823s
  [20/55] mu0.3_t20.05_k25_step_strong (821.0s, degen=0) elapsed=2554s eta=4470s
  [21/55] mu0.3_t20.05_k50_none (996.1s, degen=0) elapsed=3505s eta=5675s
  [22/55] mu0.3_t20.05_k50_step_weak (991.0s, degen=0) elapsed=3510s eta=5265s
  [23/55] mu0.3_t20.05_k50_copas_weak (980.7s, degen=0) elapsed=3535s eta=4918s
  [24/55] mu0.3_t20.05_k50_step_strong (1030.8s, degen=0) elapsed=3576s eta=4619s
